index,dateTime,calories,heart_rate,confidence,steps/min,distance/min,Voltage,Temperature
267,01/14/20 10:28:02,8.43,89,1,0,0,12.64,15.5472
268,01/14/20 10:35:02,1.53,78,2,0,0,12.38,15.2274
269,01/14/20 10:37:02,1.53,78,1,0,0,12.38,15.2274
270,01/14/20 10:47:02,1.28,76,2,0,0,12.38,15.2274
271,01/14/20 10:53:02,1.41,74,1,0,0,12.38,15.2274
272,01/14/20 10:55:02,1.53,68,1,0,0,13.67,16.8141
273,01/14/20 10:56:02,1.53,71,1,0,0,13.67,16.8141
274,01/14/20 11:02:02,1.41,75,3,0,0,13.67,16.8141
275,01/14/20 11:04:02,1.66,69,1,28,223.3223322,13.67,16.8141
276,01/14/20 11:22:02,1.66,73,2,8,63.80638064,12.9,15.867
277,01/14/20 11:24:02,1.28,85,1,104,830.5830583,12.9,15.867
278,01/14/20 11:40:02,1.79,68,1,0,0,12.9,15.867
279,01/14/20 11:41:02,5.37,72,1,16,127.6127613,12.9,15.867
280,01/14/20 11:47:02,1.53,67,2,0,0,12.9,15.867
281,01/14/20 11:48:02,1.53,69,2,0,0,12.9,15.867
282,01/14/20 11:50:02,7.67,76,2,0,0,12.9,15.867
283,01/14/20 12:25:02,1.66,72,1,12,95.70957096,12.9,15.867
284,01/14/20 12:27:02,8.95,79,2,0,0,13.15,16.1745
285,01/14/20 13:33:02,1.66,66,3,0,0,13.15,16.1745
286,01/14/20 13:37:02,1.53,73,1,0,0,13.15,16.1745
287,01/14/20 13:40:02,1.53,71,3,0,0,13.15,16.1745
288,01/14/20 13:58:02,1.66,77,3,0,0,12.9,15.867
289,01/14/20 14:00:02,1.53,75,3,0,0,12.9,15.867
290,01/14/20 14:06:02,1.66,73,1,39,311.3311331,12.9,15.867
291,01/14/20 00:36:03,1.41,90,2,14,111.1111111,12.9,15.867
292,01/14/20 00:37:03,1.66,64,2,0,0,13.15,16.1745
293,01/14/20 00:38:03,1.66,64,2,0,0,13.15,16.1745
294,01/14/20 01:00:03,1.66,72,2,0,0,13.15,16.1745
295,01/14/20 01:09:03,1.66,72,2,0,0,13.15,16.1745
296,01/14/20 01:15:03,1.66,77,1,0,0,12.9,15.867
297,01/14/20 01:24:03,1.79,82,1,21,167.2167217,12.9,15.867
298,01/14/20 02:12:03,1.66,79,1,8,63.80638064,12.9,15.867
299,01/14/20 02:14:03,1.79,67,0,91,726.0726073,12.9,15.867
300,01/14/20 02:33:03,1.53,86,3,0,0,13.15,16.1745
301,01/14/20 02:34:03,1.66,83,1,0,0,13.15,16.1745
302,01/14/20 02:35:03,1.66,73,1,0,0,13.15,16.1745
303,01/14/20 02:37:03,1.66,76,1,0,0,13.15,16.1745
304,01/14/20 02:38:03,1.66,76,2,0,0,10.84,13.3332
305,01/14/20 02:40:03,1.53,78,1,6,47.30473047,10.84,13.3332
306,01/14/20 02:43:03,1.28,82,1,11,86.90869087,12.9,15.867
307,01/14/20 02:45:03,1.28,91,1,9,71.50715072,12.9,15.867
308,01/14/20 02:47:03,1.28,96,0,17,135.3135314,12.9,15.867
309,01/14/20 02:48:03,1.28,70,0,0,0,12.9,15.867
310,01/14/20 02:49:03,1.28,70,0,0,0,12.38,15.2274
311,01/14/20 02:51:03,1.28,70,0,0,0,12.38,15.2274
312,01/14/20 02:53:03,1.28,70,0,0,0,12.38,15.2274
313,01/14/20 02:54:03,1.28,85,1,0,0,12.38,15.2274
314,01/14/20 02:55:03,1.28,75,1,0,0,12.9,15.867
315,01/14/20 02:56:03,1.28,107,0,76,609.4609461,12.9,15.867
316,01/14/20 03:00:03,1.28,102,0,60,315.7315732,12.9,15.867
317,01/14/20 03:01:03,1.28,87,1,96,713.9713971,12.9,15.867
318,01/14/20 03:06:03,1.28,116,1,109,834.9834983,13.92,17.1216
319,01/14/20 03:07:03,1.28,115,1,111,877.8877888,13.92,17.1216
320,01/14/20 03:08:03,1.28,94,1,111,944.9944994,13.92,17.1216
321,01/14/20 03:26:03,1.28,84,1,106,900.990099,13.92,17.1216
322,01/14/20 03:49:03,1.28,94,1,106,830.5830583,13.15,16.1745
323,01/14/20 03:50:03,1.28,84,1,103,871.2871287,13.15,16.1745
324,01/14/20 03:51:03,1.28,91,1,109,922.9922992,13.15,16.1745
325,01/14/20 04:55:03,1.28,78,1,110,941.6941694,13.15,16.1745
326,01/14/20 04:56:03,1.28,83,1,108,917.4917492,13.92,17.1216
327,01/14/20 05:24:03,1.28,78,1,108,891.0891089,13.92,17.1216
328,01/14/20 05:40:03,1.28,84,2,111,887.7887789,13.92,17.1216
329,01/14/20 06:34:03,1.28,84,2,109,914.1914191,13.92,17.1216
